x angle0interp angle0integration angle1interp angle1integration angle2interp angle2integration angle3interp angle3integration angle4interp angle4integration angle5interp angle5integration angle6interp angle6integration angle7interp angle7integration 
0 -0.06845114106 -0.06845114718 -0.06845114106 -0.06845114718 -0.06845114106 -0.06845114718 -0.06845114106 -0.06845114718 -0.06845114106 -0.06845114718 -0.06845114106 -0.06845114718 -0.06845114106 -0.06845114718 -0.06845114106 -0.06845114718 
0.1001001001 -0.06805096782 -0.06805096932 -0.06809104584 -0.06809105314 -0.06818783802 -0.06818783779 -0.06828463615 -0.0682846419 -0.06832474672 -0.06832474517 -0.06828463615 -0.0682846419 -0.06818783802 -0.06818783779 -0.06809104584 -0.06809105314 
0.2002002002 -0.06686509621 -0.06686508907 -0.06702294325 -0.06702295043 -0.06740428123 -0.06740427771 -0.06778590904 -0.0677859109 -0.06794408228 -0.06794407818 -0.06778590904 -0.0677859109 -0.06740428123 -0.06740427771 -0.06702294325 -0.06702295043 
0.3003003003 -0.06493656219 -0.06493655082 -0.06528265596 -0.06528266899 -0.06611934011 -0.06611933528 -0.06695749908 -0.06695750654 -0.0673051327 -0.06730512968 -0.06695749908 -0.06695750654 -0.06611934011 -0.06611933528 -0.06528265596 -0.06528266899 
0.4004004004 -0.06233414237 -0.06233412444 -0.06292763108 -0.06292762279 -0.06436364706 -0.06436368009 -0.06580430067 -0.06580430702 -0.06640237039 -0.066402375 -0.06580430067 -0.06580430702 -0.06436364706 -0.06436368009 -0.06292763108 -0.06292762279 
0.5005005005 -0.05914811608 -0.05914812412 -0.06003354129 -0.06003355496 -0.06217863773 -0.06217864687 -0.06433432591 -0.06433433583 -0.06525194136 -0.06523036373 -0.06433432591 -0.06433433583 -0.06217863773 -0.06217864687 -0.06003354129 -0.06003355496 
0.6006006006 -0.05548504337 -0.05548507222 -0.05669040846 -0.05669035671 -0.05961476457 -0.05961470685 -0.06255966777 -0.0625596948 -0.06378561904 -0.06378561717 -0.06255966777 -0.0625596948 -0.05961476457 -0.05961470685 -0.05669040846 -0.05669035671 
0.7007007007 -0.05146159629 -0.05146165523 -0.05299735326 -0.05299728821 -0.05672960795 -0.05672960914 -0.06049750305 -0.06049743829 -0.06206857831 -0.06206857968 -0.06049750305 -0.06049743829 -0.05672960795 -0.05672960914 -0.05299735326 -0.05299728821 
0.8008008008 -0.04719848582 -0.04719845588 -0.04905789095 -0.04905796128 -0.05358615878 -0.05358627291 -0.05817020746 -0.05817021846 -0.06008535759 -0.0600853583 -0.05817020746 -0.05817021846 -0.05358615878 -0.05358627291 -0.04905789095 -0.04905796128 
0.9009009009 -0.04281390138 -0.04281393362 -0.04497535047 -0.04497544131 -0.05025060702 -0.05025052681 -0.05560647695 -0.05560656036 -0.05784901827 -0.05784901731 -0.05560647695 -0.05560656036 -0.05025060702 -0.05025052681 -0.04497535047 -0.04497544131 
1.001001001 -0.03841898883 -0.0384190673 -0.04084788971 -0.04084778989 -0.04678862328 -0.0467888037 -0.05284079934 -0.05284067455 -0.05538025636 -0.05538025668 -0.05284079934 -0.05284067455 -0.04678862328 -0.0467888037 -0.04084788971 -0.04084778989 
1.101101101 -0.03411295415 -0.034112981 -0.0367641494 -0.03676430798 -0.04326607995 -0.04326590402 -0.04991193118 -0.04991177704 -0.05270738192 -0.05270738569 -0.04991193118 -0.04991177704 -0.04326607995 -0.04326590402 -0.0367641494 -0.03676430798 
1.201201201 -0.02997987169 -0.02997975819 -0.03280256806 -0.03280265906 -0.03974305137 -0.03974293892 -0.04686308469 -0.04686295099 -0.04986558803 -0.04986559223 -0.04686308469 -0.04686295099 -0.03974305137 -0.03974293892 -0.03280256806 -0.03280265906 
1.301301301 -0.02608666771 -0.02608652735 -0.02902689414 -0.02902696417 -0.03627571268 -0.03627555313 -0.04373946528 -0.04373964193 -0.04689559081 -0.04689559183 -0.04373946528 -0.04373964193 -0.03627571268 -0.03627555313 -0.02902689414 -0.02902696417 
1.401401401 -0.02248292867 -0.02248278635 -0.02548669864 -0.02548687384 -0.0329127617 -0.03291250845 -0.04058812675 -0.04058792123 -0.04384182276 -0.04384180712 -0.04058812675 -0.04058792123 -0.0329127617 -0.03291250845 -0.02548669864 -0.02548687384 
1.501501502 -0.01920074952 -0.01920083563 -0.02221736527 -0.02221754638 -0.02969443405 -0.02969468297 -0.03745249454 -0.0374526754 -0.04075025185 -0.04075027131 -0.03745249454 -0.0374526754 -0.02969443405 -0.02969468297 -0.02221736527 -0.02221754638 
1.601601602 -0.01625700664 -0.01625711961 -0.01924055459 -0.0192404021 -0.02665455058 -0.02665451088 -0.03437606619 -0.0343758804 -0.0376664404 -0.03766646414 -0.03437606619 -0.0343758804 -0.02665455058 -0.02665451088 -0.01924055459 -0.0192404021 
1.701701702 -0.01365436046 -0.01365423425 -0.01656437734 -0.01656448385 -0.0238158289 -0.02381585675 -0.03139519702 -0.03139510216 -0.03463328547 -0.03463327793 -0.03139519702 -0.03139510216 -0.0238158289 -0.02381585675 -0.01656437734 -0.01656448385 
1.801801802 -0.01138318415 -0.01138334688 -0.01418823455 -0.01418823582 -0.02119433531 -0.02119428888 -0.02854216928 -0.02854233151 -0.03168926294 -0.03168927825 -0.02854216928 -0.02854233151 -0.02119433531 -0.02119428888 -0.01418823455 -0.01418823582 
