t Co Inco Color Hotspot
1e-06 474.863 25.7085 25.7085 5.74619e-10
0.0106174 437.082 23.7486 23.6888 0.0598533
0.0420585 345.752 19.6736 18.9218 0.751858
0.0943242 240.905 16.3332 13.6428 2.69037
0.167415 151.42 14.7677 9.27089 5.49681
0.26133 87.3007 14.2268 6.15656 8.07028
0.376069 46.6219 13.5875 4.11263 9.47489
0.511634 23.1819 12.2657 2.82854 9.43717
0.668023 10.7594 10.311 2.03741 8.27362
0.845236 4.66621 8.09844 1.55027 6.54817
1.04327 1.89133 6.01161 1.24468 4.76693
1.26214 0.716267 4.28394 1.04523 3.23871
1.50183 0.25329 2.98428 0.906876 2.07741
1.76234 0.0835597 2.07277 0.803388 1.26938
2.04367 0.0256846 1.46368 0.719884 0.743797
2.34584 0.00734429 1.06794 0.648189 0.419756
2.66882 0.00194945 0.812643 0.584002 0.228641
3.01263 0.000479015 0.645417 0.525202 0.120214
3.37727 0.000108549 0.531725 0.470835 0.0608904
3.76273 2.25671e-05 0.450141 0.420553 0.0295882
4.16901 4.27203e-06 0.387885 0.374187 0.0136979
4.59612 7.28112e-07 0.337692 0.331716 0.00597559
5.04406 1.09729e-07 0.295496 0.293083 0.00241277
5.51282 1.41685e-08 0.259036 0.258163 0.000873782
6.0024 1.47223e-09 0.227123 0.226856 0.000266584
6.51281 1.05327e-10 0.198964 0.198905 5.86227e-05
7.04404 2.72481e-12 0.174097 0.174092 4.88009e-06
7.5961 1.69851e-13 0.152162 0.152161 1.02476e-06
8.16898 3.5236e-13 0.132859 0.132851 7.49722e-06
8.76269 1.5534e-13 0.115915 0.115903 1.22026e-05
9.37722 4.38056e-14 0.10108 0.101067 1.33e-05
10.0126 9.70352e-15 0.0881189 0.088107 1.19207e-05
10.6688 1.82208e-15 0.076809 0.0767996 9.48167e-06
11.3458 3.00889e-16 0.0669636 0.0669566 6.94333e-06
12.0436 4.46051e-17 0.0583973 0.0583925 4.77845e-06
12.7622 6.0119e-18 0.0509492 0.0509461 3.13005e-06
13.5017 7.42886e-19 0.0444761 0.0444742 1.96787e-06
14.262 8.46524e-20 0.0388516 0.0388504 1.19438e-06
15.0432 8.93278e-21 0.0339642 0.0339635 7.02778e-07
15.8451 8.75629e-22 0.0297166 0.0297162 4.0214e-07
16.6679 7.99243e-23 0.0260251 0.0260249 2.24314e-07
17.5115 6.8057e-24 0.0228133 0.0228132 1.22199e-07
18.3759 5.4143e-25 0.0200182 0.0200182 6.5111e-08
19.2612 4.02914e-26 0.0175815 0.0175814 3.39732e-08
20.1672 2.80736e-27 0.0154621 0.0154621 1.73752e-08
21.0941 1.83296e-28 0.0136121 0.013612 8.71749e-09
22.0419 1.12221e-29 0.0119972 0.0119972 4.29353e-09
23.0104 6.44611e-31 0.0105863 0.0105863 2.07701e-09
23.9998 3.47565e-32 0.00935237 0.00935237 9.87355e-10
25.01 1.75981e-33 0.00827495 0.00827495 4.61419e-10
